id;name;description;price;stock_quantity
1;circa than;dual range what;16750.25;1811
2;content reproach recent;pfft incidentally amount;14807.35;6764
3;sparkling;declaration provision faithfully;27088.73;7564
4;reassuringly until;whenever reassuringly;28048.92;131
5;our mid;phew;27041.73;14446
6;unnaturally determined;brown modulo jam-packed;18019.21;88
7;noon mechanically;unnecessarily;11882.73;4108
8;reflecting rudely encode;culture;9975.58;16476
9;fray babyish ah;below why;19188.57;3193
10;incidentally abnegate annex;pharmacopoeia when;31103.27;29670
